1,01-01-2016,Friday,New Year,,,,,,,,,,,,,,,
2,15-01-2016,Friday,Makara Sankranthi,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                               
3,26-01-2016,Tuesday,Republic Day ,,,,,,,,,,,,,,,
4,08-04-2016,Friday,Ugadi,,,,,,,,,,,,,,,
5,06-07-2016,Wednesday,Ramzan,,,,,,,,,,,,,,,
6,15-08-2016,Monday,Independence Day ,,,,,,,,,,,,,,,
7,05-09-2016,Monday,Ganesh Chaturthi,,,,,,,,,,,,,,,
8,11-10-2016,Tuesday,Vijaya Dashami,,,,,,,,,,,,,,,
9,31-10-2016,Monday,Deepawali,,,                                                                                                                                                                                                                                                               ,,,,,,,,,,,,
10,01-11-2016,Tuesday,Karnataka Formation Day,,,,,,,,,,,,,,,
